ChCode,       Amount OB       ,        Principal Amount Due        
01PCRL2606-6," 1,379,060.94 "," 39,609.38 "
01PCRL2607-1," 1,909,543.86 "," 65,494.88 "
01PCRL2607-2," 816,447.58 "," 31,825.29 "
01PCRL2607-4," 1,401,098.21 "," 42,691.59 "
01PCRL2607-5," 913,422.06 "," 91,027.26 "
01PCRL2607-7," 1,441,233.50 "," 63,333.48 "
01PCRL2607-8," 2,220,968.14 "," 65,622.90 "
01PDFL2606-10," 2,514,995.69 "," 70,720.23 "
01PDFL2606-11," 1,457,975.61 "," 80,191.85 "
01PDFL2606-12," 1,419,694.65 "," 58,989.27 "
01PDFL2606-19," 464,051.22 "," 40,093.58 "
01PDFL2606-22," 1,183,178.86 "," 32,507.28 "
01PDFL2606-27," 2,268,064.37 "," 75,016.54 "
01PDFL2606-28," 396,373.46 "," 17,700.73 "
01PDFL2606-3," 425,621.60 "," 19,586.08 "
01PDFL2606-30," 801,860.42 "," 23,707.17 "
01PDFL2606-31," 836,633.28 "," 24,045.32 "
01PDFL2606-32," 950,401.81 "," 42,627.75 "
01PDFL2606-34," 1,730,250.95 "," 65,097.97 "
01PDFL2606-37," 2,530,162.78 "," 76,634.90 "
01PDFL2606-38," 956,493.30 "," 29,662.54 "
01PDFL2606-39," 452,743.47 "," 9,428.24 "
01PDFL2606-4," 898,898.85 "," 33,922.88 "
01PDFL2606-41," 1,441,692.09 "," 40,906.72 "
01PDFL2606-42," 1,365,010.78 "," 47,994.72 "
01PDFL2606-44," 1,472,866.01 "," 67,418.25 "
01PDFL2606-47," 907,256.34 "," 31,082.88 "
01PDFL2606-48," 1,326,617.33 "," 36,286.74 "
01PDFL2606-49," 643,083.51 "," 68,681.50 "
01PDFL2606-50," 970,387.22 "," 30,757.33 "
01PDFL2606-54," 729,429.00 "," 21,853.79 "
01PDFL2606-62," 705,070.43 "," 18,884.27 "
01PDFL2606-64," 1,314,390.53 "," 45,629.49 "
01PDFL2606-66," 383,409.58 "," 13,186.07 "
01PDFL2606-7," 1,370,150.78 "," 38,724.74 "
01PDFL2606-70," 1,946,113.51 "," 55,186.18 "
01PDFL2606-71," 959,016.36 "," 31,289.47 "
01PDFL2606-72," 1,751,319.81 "," 63,368.05 "
01PDFL2606-75," 690,909.00 "," 25,223.79 "
01PDFL2606-76," 1,377,311.01 "," 56,265.74 "
01PDFL2606-8," 1,516,789.89 "," 53,075.15 "
01PDFL2606-80," 2,019,059.49 "," 74,228.63 "
01PDFL2606-82," 2,896,741.18 "," 90,173.17 "
01PDFL2606-88," 1,571,668.14 "," 60,306.63 "
01PDFL2606-89," 1,120,828.81 "," 35,683.11 "
01PDFL2606-9," 2,409,079.58 "," 82,399.21 "
01PDFL2606-93," 1,599,095.96 "," 45,538.54 "
01PDFL2606-99," 1,648,149.05 "," 78,547.45 "
01PDFL2607-1," 826,427.38 "," 29,305.34 "
01PDFL2607-100," 2,942,540.69 "," 118,777.71 "
01PDFL2607-101," 773,709.39 "," 28,930.76 "
01PDFL2607-102," 929,050.90 "," 32,006.42 "
01PDFL2607-103," 613,807.69 "," 43,429.72 "
01PDFL2607-105," 912,761.11 "," 32,902.12 "
